Pick,Name,Rookie Year,College,Position,Points,Rebounds,Assists,Steals,Blocks,Turnovers,Points (P),Rebounds (P),Assists (P),Steals (P),Blocks (P),Turnovers (P),Player Impact Score
1,Zion Williamson,2020,Duke,PF,22.60,8.90,2.10,2.10,1.80,2.40,15.04,7.47,2.37,1.32,0.81,2.17,31.78
2,Ja Morant,2020,Murray State,PG,24.50,5.70,10.00,1.80,0.80,5.20,15.63,3.62,6.39,1.13,0.46,2.92,31.41
3,RJ Barrett,2020,Duke,SG,22.60,7.60,4.30,0.90,0.40,3.20,13.11,3.86,2.99,0.57,0.33,1.76,23.17
4,DeAndre Hunter,2020,Virginia,SF,15.20,5.10,2.00,0.60,0.60,1.40,10.02,3.89,1.22,0.57,0.40,1.23,18.19
5,Darius Garland,2020,Vanderbilt,PG,16.20,3.80,2.60,0.80,0.40,3.00,10.16,3.38,4.61,0.62,0.31,2.32,21.60
6,Jarrett Culver,2020,Texas Tech,SG,18.50,6.40,3.70,1.50,0.60,2.70,12.32,3.61,2.60,0.93,0.28,1.75,22.42
7,Coby White,2020,UNC,PG,16.10,3.50,4.10,1.10,0.30,2.70,11.15,2.92,4.04,0.75,0.22,2.10,21.53
8,Jaxson Hayes,2020,Texas,PF,10.00,5.00,0.30,0.60,2.20,0.90,8.11,4.40,0.94,0.54,0.90,1.33,17.80
9,Rui Hachimura,2020,Gonzaga,SF,19.70,6.50,1.50,0.90,0.70,1.80,8.30,3.78,0.95,0.51,0.29,1.02,15.65
10,Cam Reddish,2020,Duke,SG,13.50,3.70,1.90,1.60,0.60,2.70,12.45,2.70,1.67,1.15,0.31,1.49,21.11
12,PJ Washington,2020,Kentucky,PF,15.20,7.50,1.80,0.80,1.20,2.00,7.30,3.80,1.02,0.51,0.45,0.89,15.39
13,Tyler Herro,2020,Kentucky,SG,14.00,4.50,2.50,1.10,0.30,1.60,7.74,2.55,1.59,0.57,0.16,0.84,14.55
14,Romeo Langford,2020,Indiana,SG,16.50,5.40,2.30,0.80,0.80,2.10,5.75,1.90,0.71,0.37,0.27,0.69,10.32
16,Chuma Okeke,2020,Auburn,SF,12.00,6.80,1.90,1.80,1.20,1.70,5.55,3.50,1.08,0.73,0.31,0.75,13.73
17,Nickeil Alexander-Walker,2020,Virginia Tech,SG,16.20,4.10,4.00,1.90,0.50,2.90,5.42,1.71,1.03,0.60,0.21,0.82,10.64
20,Matisse Thybulle,2020,Washington,SG,9.10,3.10,2.10,3.50,2.30,1.80,6.55,1.82,1.12,1.01,0.76,0.86,14.84
21,Brandon Clarke,2020,Gonzaga,PF,16.90,8.60,1.90,1.20,3.20,1.50,6.69,4.54,1.04,0.61,0.91,0.74,17.51
22,Grant Williams,2020,Tennessee,PF,18.80,7.50,3.20,1.10,1.50,2.20,5.80,3.52,0.71,0.41,0.55,0.75,13.20
24,Ty Jerome,2020,Virginia,PG,13.60,4.20,5.50,1.50,0.00,1.60,4.75,1.63,2.19,0.60,0.11,0.95,11.15
25,Nassir Little,2020,UNC,SF,9.80,4.60,0.70,0.50,0.50,1.30,4.10,1.85,0.60,0.33,0.19,0.59,8.17
26,Dylan Windler,2020,Belmont,SG,21.30,10.80,2.50,1.40,0.60,2.10,6.17,3.11,1.04,0.48,0.21,0.80,12.74
27,Mfiondu Kabengele,2020,Florida State,PF,13.20,5.90,0.30,0.60,1.50,1.30,4.06,2.58,0.49,0.41,0.49,0.64,9.98
29,Keldon Johnson,2020,Kentucky,SG,13.50,5.90,1.60,0.80,0.20,1.60,3.72,2.05,0.61,0.35,0.14,0.55,8.02
30,Kevin PorterJr,2020,USC,SG,9.50,4.00,1.40,0.80,0.50,1.90,3.52,1.89,0.54,0.45,0.24,0.55,8.14
31,Nicolas Claxton,2020,Georgia,PF,13.00,8.60,1.80,1.10,2.50,2.10,3.66,2.41,0.59,0.36,0.46,0.64,9.27
33,Carsen Edwards,2020,Purdue,PG,24.30,3.60,2.90,1.30,0.30,3.10,5.45,1.37,1.31,0.41,0.13,0.86,9.83
34,Bruno Fernando,2020,Maryland,C,13.60,10.60,2.00,0.60,1.90,2.80,3.03,2.45,0.72,0.36,0.41,0.60,8.74
42,Admiral Schofield,2020,Tennessee,SF,16.50,6.10,2.00,0.90,0.50,1.90,5.39,2.22,0.85,0.42,0.17,0.55,10.55
43,Jaylen Nowell,2020,Washington,PG,16.20,5.30,3.10,1.30,0.30,2.90,4.71,1.70,1.58,0.45,0.12,0.74,10.07
44,Bol Bol,2020,Oregon,C,21.00,9.60,1.00,0.80,2.70,2.00,6.01,2.81,0.52,0.29,0.51,0.56,12.02
45,Isaiah Roby,2020,Nebraska,SF,11.80,6.90,1.90,1.30,1.90,2.00,3.05,2.06,0.66,0.31,0.30,0.52,7.83
