,Name,Year,School,Pos,PTS,TRB,AST,STL,BLK,TOV,NBAPTS,NBATRB,NBAAST,NBASTL,NBABLK,NBATOV
0,Kenyon Martin,2001.0,Cincinnati,PF,18.9,9.7,1.4,1.4,3.5,1.8,12.0,7.4,1.9,1.1,1.7,2.0
1,Stromile Swift,2001.0,LSU,PF,16.2,8.2,0.9,1.5,2.8,2.4,4.9,3.6,0.4,0.8,1.0,0.8
2,Marcus Fizer,2001.0,Iowa State,PF,22.8,7.7,1.1,0.8,1.1,2.1,9.5,4.3,1.1,0.4,0.3,1.7
3,Mike Miller,2001.0,Florida,SF,14.1,6.6,2.5,1.2,0.4,1.9,11.9,4.0,1.7,0.6,0.2,1.2
4,DerMarr Johnson,2001.0,Cincinnati,SF,12.6,3.8,1.4,1.0,0.9,1.4,5.1,2.3,0.8,0.6,0.4,1.2
5,Chris Mihm,2001.0,Texas,C,17.7,10.5,0.7,0.3,2.7,2.5,7.6,4.7,0.3,0.3,0.9,1.4
6,Jamal Crawford,2001.0,Michigan,PG,16.6,2.8,4.5,1.1,0.9,3.1,4.6,1.5,2.3,0.7,0.2,1.4
7,Joel Przybilla,2001.0,Minnesota,C,14.2,8.4,2.4,0.8,3.9,3.7,0.8,2.2,0.1,0.1,0.9,0.4
8,Keyon Dooling,2001.0,Missouri,PG,15.3,2.7,3.6,1.4,0.5,2.5,5.9,1.2,2.3,0.5,0.1,1.2
9,Etan Thomas,2002.0,Syracuse,C,13.6,9.3,0.6,0.8,3.7,2.0,4.3,3.9,0.1,0.4,0.7,0.6
10,Courtney Alexander,2001.0,Fresno State,PG,24.8,4.7,3.5,1.4,0.1,2.5,9.5,2.2,1.0,0.7,0.1,1.2
11,Mateen Cleaves,2001.0,Michigan State,PG,12.1,1.8,6.9,1.4,0.2,3.7,5.4,1.7,2.7,0.6,0.0,1.8
12,Jason Collier,2001.0,Georgia Tech,C,17.0,9.2,1.6,0.8,1.1,3.2,3.1,1.6,0.3,0.1,0.1,0.5
13,Desmond Mason,2001.0,Oklahoma State,SF,18.0,6.6,1.5,1.2,1.0,1.8,5.9,3.2,0.8,0.5,0.3,0.7
14,Quentin Richardson,2001.0,DePaul,SG,17.0,9.8,2.2,1.1,0.3,2.3,8.1,3.4,0.8,0.6,0.1,0.8
15,Jamaal Magloire,2001.0,Kentucky,C,13.2,9.1,0.5,0.5,1.7,2.9,4.6,4.0,0.4,0.2,1.1,0.8
16,Speedy Claxton,2002.0,Hofstra,PG,22.8,5.4,6.0,3.3,0.2,3.3,7.2,2.4,3.0,1.4,0.1,1.4
17,Morris Peterson,2001.0,Michigan State,SG,16.8,6.0,1.3,1.2,0.3,2.2,9.3,3.2,1.3,0.8,0.3,1.0
18,Donnell Harvey,2001.0,Florida,PF,10.1,7.0,1.0,0.7,0.8,1.6,1.2,1.1,0.1,0.2,0.1,0.4
19,Erick Barkley,2001.0,St. John's (NY),PG,16.0,3.0,4.5,3.0,0.3,2.4,2.4,0.4,0.8,0.3,0.0,0.6
20,Mark Madsen,2001.0,Stanford,PF,12.2,9.3,1.1,0.6,0.9,1.5,2.0,2.2,0.3,0.1,0.1,0.4
21,Dan Langhi,2001.0,Vanderbilt,SF,22.1,6.0,0.8,0.4,0.3,1.8,2.7,1.2,0.1,0.2,0.0,0.2
22,Jake Voskuhl,2001.0,UConn,C,8.5,6.4,1.1,0.5,1.4,1.8,1.9,2.1,0.3,0.3,0.4,0.8
23,Khalid El-Amin,2001.0,UConn,PG,16.0,3.1,5.2,1.7,0.1,2.7,6.3,1.6,2.9,1.0,0.0,1.1
24,Mike Smith,2001.0,Louisiana-Monroe,SF,20.1,9.4,3.4,1.5,0.9,4.3,3.0,1.3,0.6,0.3,0.2,0.4
25,Eddie House,2001.0,Arizona State,PG,23.0,5.5,3.5,2.3,0.1,2.3,5.0,0.8,1.0,0.3,0.0,0.7
26,Lavor Postell,2001.0,St. John's (NY),SG,14.3,6.9,1.8,0.9,0.6,1.5,2.3,1.0,0.2,0.2,0.1,0.7
28,Michael Redd,2001.0,Ohio State,SG,17.3,6.5,2.1,1.2,0.2,2.1,2.2,0.7,0.2,0.2,0.0,0.2
29,Brian Cardinal,2001.0,Purdue,PF,13.9,6.3,2.2,2.0,0.3,2.3,2.1,1.5,0.2,0.5,0.1,0.6
30,Jabari Smith,2001.0,LSU,C,12.5,7.0,2.2,0.7,1.0,2.6,2.9,0.9,0.7,0.4,0.0,0.3
32,Jason Hart,2001.0,Syracuse,PG,11.9,3.0,6.5,1.8,0.1,3.5,2.0,0.0,1.0,0.0,0.0,2.0
33,Kaniel Dickens,2004.0,Idaho,PF,12.1,6.6,0.9,0.9,0.9,2.2,2.3,0.7,0.0,0.0,0.0,0.3
34,Dan McClintock,2001.0,Northern Arizona,C,15.6,6.5,1.2,0.4,2.3,1.8,3.0,2.8,0.2,0.0,0.3,0.5
35,Chris Porter,2001.0,Auburn,SF,14.6,7.3,1.2,2.0,0.3,2.1,8.6,3.7,1.2,0.9,0.1,1.2
39,Jason Richardson,2002.0,Michigan State,SG,14.7,5.9,2.2,1.2,0.8,1.3,14.4,4.3,3.0,1.3,0.4,2.0
40,Shane Battier,2002.0,Duke,SF,19.9,7.3,1.8,2.1,2.3,1.5,14.4,5.4,2.8,1.6,1.0,2.0
41,Eddie Griffin,2002.0,Seton Hall,PF,17.8,10.8,1.6,0.9,4.4,2.2,8.8,5.7,0.7,0.2,1.8,0.6
42,Rodney White,2002.0,Charlotte,SF,18.7,6.5,1.5,1.2,0.7,2.9,3.5,1.1,0.8,0.6,0.1,0.9
43,Joe Johnson,2002.0,Arkansas,SG,14.2,6.4,2.6,1.4,0.4,2.3,7.5,3.3,2.3,0.8,0.3,0.9
44,Richard Jefferson,2002.0,Arizona,SF,11.3,5.4,2.7,0.8,0.8,3.0,9.4,3.7,1.8,0.8,0.6,1.4
45,Troy Murphy,2002.0,Notre Dame,PF,21.8,9.2,2.1,0.9,1.7,3.0,5.9,3.9,0.9,0.4,0.3,1.0
46,Steven Hunter,2002.0,DePaul,C,11.4,5.6,0.5,0.2,2.4,1.5,3.6,1.8,0.1,0.1,0.8,0.3
47,Kirk Haston,2002.0,Indiana,PF,19.0,8.7,1.2,1.1,1.2,2.4,1.7,1.3,0.3,0.0,0.1,0.2
48,Michael Bradley,2002.0,Villanova,PF,20.8,9.8,2.6,0.9,1.8,2.8,1.2,0.9,0.1,0.0,0.2,0.2
49,Jason Collins,2002.0,Stanford,C,14.5,7.8,1.5,0.8,1.3,1.6,4.5,3.9,1.1,0.4,0.6,0.9
50,Zach Randolph,2002.0,Michigan State,PF,10.8,6.7,1.0,0.7,0.7,1.6,2.8,1.7,0.3,0.2,0.1,0.4
51,Brendan Haywood,2002.0,UNC,C,12.3,7.3,1.3,0.5,3.6,2.0,5.1,5.2,0.5,0.3,1.5,0.8
52,Joseph Forte,2002.0,UNC,SG,20.9,6.1,3.5,2.0,0.4,2.5,0.8,0.8,0.8,0.3,0.0,0.4
53,Jeryl Sasser,2002.0,SMU,SG,17.0,8.3,0.8,1.4,0.6,2.1,1.4,1.0,0.3,0.4,0.0,0.3
54,Brandon Armstrong,2002.0,Pepperdine,SG,22.1,3.3,1.5,1.5,0.2,2.1,1.8,0.5,0.2,0.2,0.0,0.2
55,Gerald Wallace,2002.0,Alabama,SF,9.8,6.0,1.5,1.2,1.0,2.4,3.2,1.6,0.5,0.4,0.1,0.4
56,Samuel Dalembert,2002.0,Seton Hall,C,8.3,5.7,0.3,0.5,2.1,1.9,1.5,2.0,0.1,0.2,0.4,0.4
57,Jamaal Tinsley,2002.0,Iowa State,PG,14.3,3.8,6.0,2.5,0.6,3.8,9.4,3.7,8.1,1.7,0.5,3.4
