Name,NBATOV,NBATRB,NBAAST,NBASTL,NBABLK,NBAPTS,Value
Admiral Schofield,0.52,1.89,0.74,0.36,0.15,4.86,9.79
Bol Bol,0.52,2.94,0.47,0.29,0.49,5.2,11.78
Brandon Clarke,0.67,4.27,0.86,0.52,0.87,6.28,16.87
Bruno Fernando,0.55,2.52,0.64,0.32,0.42,3.05,9.27
Cam Reddish,1.43,2.72,1.47,1.16,0.3,11.23,21.09
Carsen Edwards,0.83,1.38,1.34,0.39,0.11,5.27,10.46
Chuma Okeke,0.73,3.29,0.9,0.75,0.27,5.46,13.82
Coby White,2.16,2.9,4.31,0.74,0.21,11.18,23.95
Darius Garland,2.23,3.42,4.57,0.59,0.29,9.92,23.52
DeAndre Hunter,1.3,3.93,1.25,0.54,0.37,10.18,19.51
Dylan Windler,0.77,3.01,0.92,0.46,0.21,5.64,12.63
Grant Williams,0.74,3.43,0.72,0.4,0.56,5.98,14.04
Ignas Brazdeikis,0.42,1.43,0.49,0.27,0.16,3.4,7.13
Isaiah Roby,0.49,1.96,0.64,0.32,0.33,2.94,8.2
Ja Morant,2.73,3.53,5.95,1.11,0.45,14.75,32.59
Jalen McDaniels,0.41,1.99,0.65,0.32,0.17,3.52,8.36
Jarrett Culver,1.67,3.64,2.35,0.93,0.26,12.0,23.46
Jaxson Hayes,1.35,4.34,0.89,0.52,0.93,8.33,19.23
Jaylen Hands,1.02,1.59,3.23,0.49,0.09,3.9,12.39
Jaylen Hoard,0.37,1.83,0.43,0.29,0.15,2.83,6.97
Jaylen Nowell,0.83,1.68,1.59,0.42,0.11,4.6,10.6
Jordan Bone,0.95,1.6,2.93,0.45,0.09,3.57,11.51
Keldon Johnson,0.55,1.96,0.57,0.34,0.12,3.72,8.31
Kevin PorterJr,0.55,1.77,0.5,0.39,0.19,3.54,8.14
Kris Wilkes,0.38,1.58,0.54,0.33,0.13,4.31,8.4
Louis King,0.4,1.38,0.51,0.33,0.1,3.11,6.8
Luguentz Dort,0.49,1.7,0.78,0.51,0.11,4.71,9.79
Matisse Thybulle,0.81,1.76,1.01,0.98,0.75,6.12,14.97
Mfiondu Kabengele,0.58,2.37,0.43,0.39,0.48,3.96,10.05
Miye Oni,0.5,1.71,0.87,0.34,0.31,3.64,8.95
Nassir Little,0.59,1.85,0.54,0.34,0.19,4.24,8.86
Naz Reid,0.39,1.78,0.41,0.28,0.16,2.68,6.74
Nickeil Alexander-Walker,0.82,1.75,1.05,0.62,0.19,5.51,11.62
Nicolas Claxton,0.56,2.41,0.54,0.34,0.45,3.35,9.39
PJ Washington,0.85,3.74,0.87,0.49,0.42,7.06,15.56
RJ Barrett,1.74,3.84,2.86,0.56,0.31,12.8,24.28
Romeo Langford,0.71,1.87,0.76,0.39,0.26,5.68,11.01
Rui Hachimura,1.0,3.86,0.9,0.5,0.28,8.32,16.66
Sagaba Konate,0.46,1.78,0.44,0.3,0.43,2.58,7.58
Tacko Fall,0.41,3.09,0.33,0.35,0.59,2.02,9.06
Terance Mann,0.48,1.8,0.85,0.31,0.13,2.67,7.44
Ty Jerome,0.96,1.55,2.16,0.59,0.1,4.73,11.89
Tyler Cook,0.46,1.98,0.61,0.34,0.21,3.85,8.81
Tyler Herro,0.82,2.54,1.48,0.54,0.15,7.64,15.0
Zion Williamson,2.13,7.15,2.17,1.32,0.79,14.79,32.95
